Date,Final Place,Running Average,K.O.s,Singles,Doubles,Triples,Tetris Line Clears,Total Line Clears,T-Spins,Mini T-Spins,T-Spin Singles,T-Spin Doubles,T-Spin Triples,Total T-Spins,Max Combo,Back-to-Backs,All Clears
8/15/2021,3,3.00,5,58,41,9,3,179,0,0,0,0,0,0,8,0,0
8/15/2021,82,42.50,1,7,6,4,1,35,0,0,0,1,0,1,2,0,0
8/15/2021,3,29.33,1,59,29,12,6,177,0,0,0,1,0,1,4,1,0
8/15/2021,40,32.00,1,21,9,5,2,62,0,0,0,0,0,0,8,0,0
8/15/2021,5,26.60,5,58,21,9,6,151,1,0,0,3,1,5,7,1,0
8/15/2021,7,23.33,3,72,26,5,5,159,0,2,1,4,1,8,5,0,0
8/15/2021,3,19.17,6,72,33,10,7,196,1,0,2,6,1,10,4,3,1
8/15/2021,16,18.85,3,48,18,5,3,111,0,2,1,2,1,6,8,0,0
8/15/2021,4,17.39,3,55,29,9,4,156,0,1,2,6,1,10,7,0,0
8/16/2021,6,16.90,2,37,31,10,4,145,1,0,0,2,0,3,8,0,0
8/16/2021,96,26.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/16/2021,9,18.90,0,52,41,6,7,180,0,2,0,3,1,6,6,0,0
8/16/2021,33,21.90,0,25,18,7,2,90,0,0,3,2,1,6,4,1,0
8/16/2021,4,18.30,4,68,36,8,8,196,0,2,1,3,1,7,3,1,0
8/16/2021,3,18.10,12,51,40,8,6,179,0,0,0,7,1,8,5,1,0
8/16/2021,12,18.60,2,51,24,6,7,145,0,1,0,2,1,4,7,0,0
8/16/2021,8,19.10,6,46,25,10,4,142,0,0,0,2,1,3,5,0,0
8/16/2021,14,18.90,0,56,30,8,7,168,1,2,1,7,1,12,6,1,0
8/18/2021,19,20.40,1,23,19,4,11,117,0,0,0,2,0,2,3,4,0
8/18/2021,36,23.40,1,19,12,1,14,102,0,0,0,2,0,2,2,5,0
8/18/2021,2,14.00,12,46,22,5,17,173,0,2,0,5,0,7,5,4,0
8/18/2021,42,17.30,1,4,10,1,6,51,0,0,0,1,0,3,3,2,0
8/18/2021,6,14.60,3,53,17,4,20,179,1,1,0,1,0,3,3,2,0
8/18/2021,71,21.30,0,10,4,1,5,41,0,0,0,1,0,1,1,2,0
8/18/2021,2,21.20,8,59,27,6,24,227,0,2,2,7,0,11,3,9,0
8/20/2021,84,28.40,0,7,3,0,0,13,0,0,1,2,0,3,2,0,0
8/20/2021,19,29.50,0,33,18,2,1,79,0,2,2,6,0,10,6,0,0
8/20/2021,11,29.20,6,45,34,9,5,160,0,0,0,8,0,8,3,2,0
